"Gene","Module"
"Bcl2l12","blue"
"1810044A24Rik","blue"
"Cxxc5","blue"
"Prkcb","blue"
"Tmem16b","blue"
"Tgfb3","blue"
"Ptprcap","blue"
"Cyp2d10","blue"
"2610304F09Rik","blue"
"Lgals3bp","blue"
"Esam1","blue"
"Atf7ip","blue"
"Mt1","blue"
"Aldh1a7","blue"
"4930579G24Rik","blue"
"Parva","blue"
"1700023B02Rik","blue"
"Rora","blue"
"Mme","blue"
"Dcn","blue"
"Fyn","blue"
"Acac","blue"
"Serpina11","blue"
"AI182371","blue"
"Gdf5","blue"
"Ly86","blue"
"Nxn","blue"
"Prss11","blue"
"Ddit3","blue"
"Arp3b","blue"
"1500034J20Rik","blue"
"Pdzk3","blue"
"Pxmp3","blue"
"1700093E07Rik","blue"
"Diras1","blue"
"Ang2","blue"
"1110020B03Rik","blue"
"BC025076","blue"
"Dixdc1","blue"
"Dact2","blue"
"Trim16","blue"
"Ela2","blue"
"Olfr599","blue"
"2810401C22Rik","blue"
"Rac2","blue"
"Lzts2","blue"
"Ppnr","blue"
"V1rc1","blue"
"Abr","blue"
"Chst12","blue"
"Olfr894","blue"
"2400003B06Rik","blue"
"H3f3a","blue"
"Nsd1","blue"
"Timm17a","blue"
